Wyniki z wykonanych testów nie wykazują różnic między szybkością
działania kompilacji na różnych trybach optymalizacji (-O0 ... -Os)

Powtarzając wiele razy pomiary uzyskiwane wyniki nieco się różniły,
co wynika ze sposobu działania systemu operacyjnego i różnego przydzielenia
czasu procesora. Prawdopodobnie właśnie przez to nie można zauważyć różnic.

test_static_optimize-O0
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
small_data_delete            0         1451      0.00      0.00      0.00      0.00
data_block_test              4     54497295      0.00      0.01      1.48      2.52

test_dynamic_optimize-O3
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    208049596      0.00      0.00      1.22      1.93
medium_search                0    812471249      0.00      0.00      0.33      0.46
small_search                 0     69554193      0.00      0.00      0.03      0.04
big_store                    0      2667707      0.00      0.00      0.00      0.00
medium_store                 0      2496763      0.00      0.00      0.00      0.00
small_store                  0        28536      0.00      0.00      0.00      0.00
big_data_delete              0       263697      0.00      0.00      0.00      0.00
medium_data_delete           0       225812      0.00      0.00      0.00      0.00
small_data_delete            0         1365      0.00      0.00      0.00      0.00
data_block_test              4    102661039      0.00      0.01      1.55      2.48

test_dynamic_optimize-Os
Measurement            Real[s]      Real[n]  utime[s]  stime[s] cutime[s] cstime[s]
big_search                   3    217635350      0.00      0.00      1.28      1.86
medium_search                0    808067547      0.00      0.00      0.33      0.48
small_search                 0     79268526      0.00      0.00      0.03      0.04
big_store                    0      2524582      0.00      0.00      0.00      0.00
medium_store                 0      2443940      0.00      0.00      0.00      0.00
small_store                  0        26650      0.00      0.00      0.00      0.00
big_data_delete              0       253241      0.00      0.00      0.00      0.00
medium_data_delete           0       228914      0.00      0.00      0.00      0.00
small_data_delete            0         1371      0.00      0.00      0.00      0.00
data_block_test              4    165095726      0.00      0.01      1.57      2.47

